Classified State: DIVERGENT      | Actual State:          | Entropy: -1.0000 | LLE: 0.0008 | Params: {'alpha': 1.9575913360962058, 'mu': -0.8831712157289351, 'gamma': 2.4704023971699716, 'p': 2.467966029993442, 's': 1.748937684678561} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT      | Actual State:          | Entropy: -1.0000 | LLE: 0.0006 | Params: {'alpha': 1.2119299343233751, 'mu': -0.8817689116871072, 'gamma': 2.8575975361074986, 'p': 3.547868350163512, 's': 1.2735370471615537} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State:          | Entropy: 0.6518 | LLE: 0.0232 | Params: {'alpha': 1.4676374739352376, 'mu': 0.3048015844358323, 'gamma': 2.1171761009149392, 'p': 3.7962675829298083, 's': 1.270577938829581} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5660 | LLE: 0.0977 | Params: {'alpha': -0.4501065982693686, 'mu': 0.7268115270139197, 'gamma': 0.6481575437278575, 'p': 4.713059672597845, 's': 0.5704551233765999} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.6063 | LLE: 0.0050 | Params: {'alpha': -0.5760974327654318, 'mu': 0.7801902414644828, 'gamma': 0.2611073978302913, 'p': 3.924896011690087, 's': 0.5656007436163983} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5317 | LLE: 0.1053 | Params: {'alpha': -1.0094164302034807, 'mu': 0.7805001178686732, 'gamma': 1.6909687196777305, 'p': 4.883777291584143, 's': 0.83229205766931} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State:          | Entropy: 0.6065 | LLE: 0.0175 | Params: {'alpha': -0.3183100731241968, 'mu': 0.9623634327205957, 'gamma': 0.8577005940312759, 'p': 4.098676893575987, 's': 0.7229774366851818} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE         | Actual State:          | Entropy: 0.2962 | LLE: -0.0727 | Params: {'alpha': -1.9349842780643383, 'mu': 0.26974713098610525, 'gamma': 1.779159654650056, 'p': 3.8710479410438783, 's': 0.8313850792376561} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.0886 | LLE: 0.0021 | Params: {'alpha': -0.9074201219169624, 'mu': 0.9822234009936082, 'gamma': 0.9530904380828229, 'p': 4.248292437483126, 's': 0.6714403537062641} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.1772 | LLE: -0.0022 | Params: {'alpha': -1.0504273533858308, 'mu': 0.4949632617859352, 'gamma': 0.835190805217697, 'p': 4.007092479454262, 's': 0.5026779768637861} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.1772 | LLE: -0.0022 | Params: {'alpha': -1.0504273533858308, 'mu': 0.4949632617859352, 'gamma': 0.835190805217697, 'p': 4.007092479454262, 's': 0.5026779768637861} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5756 | LLE: 0.0971 | Params: {'alpha': -0.5184268201429956, 'mu': 0.4599675411849642, 'gamma': 0.4554308294912114, 'p': 4.475361622269886, 's': 0.5163723227771215} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5557 | LLE: 0.0933 | Params: {'alpha': -0.37500058283172244, 'mu': 0.6132887452091236, 'gamma': 0.3450543966516608, 'p': 4.0373302027884135, 's': 1.1055142632038417} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE         | Actual State:          | Entropy: -1.0000 | LLE: -0.4484 | Params: {'alpha': -1.8199499860401867, 'mu': -0.7249462116019236, 'gamma': 0.38240259227634965, 'p': 2.228309064020282, 's': 0.9984313515216412} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.4080 | LLE: 0.0833 | Params: {'alpha': -0.3086020779201317, 'mu': 0.5169643765840777, 'gamma': 0.3319857608291325, 'p': 3.9708989871342593, 's': 1.1449471957526667} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.4082 | LLE: 0.0773 | Params: {'alpha': -0.18725734984289932, 'mu': 0.6915260727994212, 'gamma': 1.0259223241608997, 'p': 2.4730551133214282, 's': 1.142806563372789} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5229 | LLE: 0.0743 | Params: {'alpha': -0.17394903461721611, 'mu': 0.6205518564975039, 'gamma': 0.8693181185235302, 'p': 2.7306695544092303, 's': 1.1678755948085322} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.4895 | LLE: 0.0608 | Params: {'alpha': -0.20673466883666247, 'mu': 0.6006369216680933, 'gamma': 1.024169528022047, 'p': 2.4432847449788713, 's': 1.1552208369509867} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5207 | LLE: 0.0679 | Params: {'alpha': -0.2632935951476685, 'mu': 0.5809368926644649, 'gamma': 0.8597632057336374, 'p': 2.628312209357287, 's': 1.0958519722522517} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.1313 | LLE: -0.0003 | Params: {'alpha': -0.5530528992741885, 'mu': 0.513110766656623, 'gamma': 0.6684225316822981, 'p': 2.325771309041134, 's': 1.2087316295444905} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE         | Actual State:          | Entropy: 0.2957 | LLE: -0.0599 | Params: {'alpha': -0.9953685174031026, 'mu': -0.029310587209807393, 'gamma': 0.21137094740161155, 'p': 1.909973488516223, 's': 1.1336434136009759} | T_SKIP: 100 | T_END: 1000
