Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0015 | Params: {'alpha': 6.590827623442918, 'mu': -0.8347558040971561, 'gamma': 4.430548742901599, 'p': 2.6904889811541057, 's': 1.9652293469399722} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1415 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 0.6810124162898461, 'mu': 2.5543493899499663, 'gamma': 2.8169107696889903, 'p': 3.3736581008184254, 's': 3.7553924240333556} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.006276786327444, 'mu': 4.688247064317408, 'gamma': 1.7763402235257402, 'p': 3.201389268385163, 's': 0.7140820208104304} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.805504803711031, 'mu': 4.288040085302691, 'gamma': 3.985145042417359, 'p': 1.2077027265963896, 's': 1.4038051126239992} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.030550351547218, 'mu': 7.106519894897325, 'gamma': 1.2883002800568546, 'p': 1.3071797542878572, 's': 3.614316673211553} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE: -0.0000 | Params: {'alpha': 7.129096289578369, 'mu': 0.14046346929700348, 'gamma': 0.2822081539869731, 'p': 4.456555615065657, 's': 2.4901751281453333} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1415 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -1.890244709064548, 'mu': 6.438484823295964, 'gamma': 0.6190885027625234, 'p': 4.844100528296623, 's': 4.96315175262451} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.42494432132774, 'mu': 8.409742559865098, 'gamma': 2.0790917156141853, 'p': 4.256566810091499, 's': 1.755459481925522} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 6.426601165433807, 'mu': 2.472779018031686, 'gamma': 2.257089874425808, 'p': 3.6040647722439685, 's': 0.8708429365032272} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.364081316308997, 'mu': 6.105789246091552, 'gamma': 4.725063364796978, 'p': 4.829100725995539, 's': 1.0751862850047533} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
